X,Y,aun,school_num,location_id,school_name,school_name_label,street_address,zip_code,phone_number,grade_level,grade_org,enrollment,type,type_specific,objectid
-8365616.57613125,4858105.6840532,226518902,,,ST MARYS INTERPAROCHIAL SCHOOL,ST MARYS INTERPAROCHIAL SCHOOL,440 LOCUST ST,19106,(215) 923-7522,ELEMENTARY/MIDDLE,K-8,,3,ARCHDIOCESE,1
-8347297.4792823,4878677.04745461,226518722,,,ST MARTHA SCHOOL,ST MARTHA SCHOOL,11321 ACADEMY RD,19154,(215) 632-0320,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE,2
-8353302.40148615,4877854.25242866,226514052,,,MATERNITY BVM SCHOOL,MATERNITY BVM SCHOOL,9322 OLD BUSTLETON AVE,19115,(215) 673-0235,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE,3
-8346613.75652323,4877483.99563038,226514852,,,OUR LADY OF CALVARY SCHOOL,OUR LADY OF CALVARY SCHOOL,11023 KIPLING LN,19154,(215) 637-1648,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE,4
-8348438.66584705,4876888.13846072,226511102,,,CHRIST THE KING SCHOOL,CHRIST THE KING SCHOOL,3205 CHESTERFIELD RD,19114,(215) 632-1375,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE,5
-8366652.63432905,4857549.02347811,300511820,,,BEGINNINGS LEARNING CENTER,BEGINNINGS LEARNING CENTER,620 S 10TH ST,19147,(215) 627-3668,PRE-K/KINDERGARTEN,PREK-K,,3,PRIVATE,6
-8372140.62052749,4858507.57635065,226511232,,,JUBILEE SCHOOL,JUBILEE SCHOOL,4211 CHESTER AVE,19104,(215) 387-7592,ELEMENTARY SCHOOL,PREK-6,,3,PRIVATE,7
-8372863.02586878,4860064.61935274,226514112,,,MILL CREEK SCHOOL,MILL CREEK SCHOOL,4601 MARKET ST,19139,(215) 471-4900,MIDDLE/HIGH,7-12,,3,PRIVATE,8
-8360189.41587828,4867690.32604231,226512252,,,HOLY INNOCENTS SCHOOL,HOLY INNOCENTS CATHOLIC SCHOOL,1312 E BRISTOL ST,19124,(215) 743-5909,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE,9
-8366365.5154799,4866952.66982312,226510064,,,SPRING GARDEN ACADEMY - TIOGA,SPRING GARDEN ACAD - TIOGA,3501-05 N 17TH ST,19140,(215) 226-1000,ELEMENTARY/MIDDLE,PREK-8,,3,PRIVATE,10
-8369275.88051793,4866561.12919782,226510073,,,ST JAMES SCHOOL,ST JAMES SCHOOL,3201-29 W CLEARFIELD ST,19132,(215) 226-1276,MIDDLE SCHOOL,4-8,,3,PRIVATE,11
-8365109.21588647,4870106.53210734,226510004,,,LOGAN HOPE SCHOOL,LOGAN HOPE SCHOOL,4934 N 13TH ST,19141,(215) 455-7442,ELEMENTARY/MIDDLE,K-8,,3,PRIVATE,12
-8372359.46804933,4877467.9535091,226515302,,,OUR MOTHER OF CONSOLATION,OUR MOTHER OF CONSOLATION SCHOOL,7-29 E CHESTNUT HILL AVE,19118,(215) 247-1060,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE,13
-8369969.66445688,4874919.69598961,226512152,,,HOLY CROSS SCHOOL,HOLY CROSS SCHOOL,148-54 E MOUNT AIRY AVE,19119,(215) 242-0414,ELEMENTARY/MIDDLE,PREK-8,,3,PRIVATE,14
-8365457.61664862,4866471.34696543,126515001,5183,7510,"BETHUNE, MARY MCLEOD SCHOOL",MARY M. BETHUNE SCHOOL,3301 OLD YORK RD,19140,(215) 400-3890,ELEMENTARY/MIDDLE,K-8,398,1,DISTRICT,15
-8369346.96880686,4863806.38384003,126515001,3662,4220,"BLAINE, JAMES G. SCHOOL",JAMES G. BLAINE SCHOOL,3001 W BERKS ST,19121,(215) 400-7330,ELEMENTARY/MIDDLE,K-8,314,1,DISTRICT,16
-8372911.4687865,4861965.61157653,126515001,3663,1490,"BLANKENBURG, RUDOLPH SCHOOL",RUDOLPH BLANKENBURG SCHOOL,4600 W GIRARD AVE,19131,(215) 400-7280,ELEMENTARY/MIDDLE,K-8,257,1,DISTRICT,17
-8364900.30169626,4861300.5497188,126515001,7070,5150,"BODINE, WILLIAM W. HIGH SCHOOL",WILLIAM W. BODINE HIGH SCHOOL,1101 N 4TH ST,19123,(215) 400-7630,HIGH SCHOOL,9-12,491,1,DISTRICT,18
-8368632.52945067,4853533.01734725,126515001,3620,2240,"BREGY, F. AMEDEE SCHOOL",F. AMEDEE BREGY SCHOOL,1700 BIGLER ST,19145,(215) 400-8210,ELEMENTARY/MIDDLE,K-8,232,1,DISTRICT,19
-8372527.65541502,4859732.51295567,226519902,,,WEST CATHOLIC PREPARATORY HIGH SCHOOL,WEST CATHOLIC HIGH SCHOOL,4501-17 CHESTNUT ST,19139,(215) 386-2244,HIGH SCHOOL,9-12,,3,ARCHDIOCESE,20
-8368408.4640202,4855833.63979611,226519382,,,ST THOMAS AQUINAS SCHOOL,ST THOMAS AQUINAS SCHOOL,1616 S 18TH ST,19145,(215) 334-0878,ELEMENTARY/MIDDLE,PREK-8,,3,PRIVATE,21
-8367565.28114251,4876409.40106939,226519222,,,ST RAYMOND OF PENAFORT SCHOOL,ST RAYMOND SCHOOL,7940 WILLIAMS AVE,19150,(215) 548-1919,ELEMENTARY/MIDDLE,PREK-8,,3,PRIVATE,22
-8355688.52675476,4870418.11879203,226519422,,,BLESSED TRINITY REGIONAL CATHOLIC SCHOOL,BLESSED TRINITY REGIONAL CATHOLIC SCHOOL,3033 LEVICK ST,19149,(215) 338-9797,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE,23
-8365089.40818015,4861524.81476566,226519142,,,ST PETER THE APOSTLE SCHOOL,ST PETER THE APOSTLE SCHOOL,1009 N 5TH ST,19123,(215) 922-5958,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE,24
